UrbanArea,Population,Density,IntlAirport,StockExchange
Paris,11020000,3800,Y,Y
Madrid,6026000,4600,Y,Y
Milan,4907000,2800,Y,Y
Barcelona,4588000,4300,Y,Y
Berlin,3972000,2900,Y,Y
Athens,3325000,5000,Y,Y
Rotterdam,1160000,3106,Y,Y
The Hague,1054793,6523,Y,Y
Lisbon,2656000,2800,Y,Y
Budapest,2395000,1900,Y,Y
Brussels,1990000,2600,Y,Y
Hamburg,1976000,2700,Y,Y
Warsaw,1935000,3200,Y,Y
Munich,1928000,4200,Y,Y
Frankfurt,1904000,3000,Y,Y
Bucharest,1870000,6500,Y,Y
Vienna,1809000,3900,Y,Y
Stockholm,1436000,4300,Y,Y
Valencia,1393000,5700,Y,Y
Copenhagen,1321000,2700,Y,Y
Dublin,1306000,2500,Y,Y
Stuttgart,1301000,2900,Y,Y
Helsinki,1282000,2400,Y,Y
Prague,1158000,4600,Y,Y
Amsterdam,1140000,3200,Y,Y
Sofia,934000,5700,Y,Y
Bilbao,765000,5800,Y,Y
London,9787426,5666,Y,Y
